PRES TMPC TMWC DWPC THTE DRCT SKNT OMEG CFRL HGHT
870.70 20.04 12.23 6.69 326.78 142.52 7.35 0.10 -9999.00 1282.87
868.10 23.34 10.57 -1.36 321.50 151.19 13.31 0.40 -9999.00 1308.77
863.40 23.54 10.33 -2.42 321.37 164.62 16.13 0.60 -9999.00 1356.01
855.30 24.04 10.15 -3.72 321.83 171.47 19.66 0.70 -9999.00 1438.12
843.40 23.94 9.85 -4.42 322.62 168.21 18.07 0.50 -9999.00 1560.24
828.00 23.24 9.26 -5.28 323.09 167.01 15.56 0.40 -9999.00 1720.62
809.70 22.64 8.38 -7.51 323.15 170.86 17.13 0.50 -9999.00 1914.67
789.60 21.84 7.68 -8.57 324.13 178.51 14.97 0.70 -9999.00 2132.37
767.90 20.44 7.05 -7.95 325.81 187.13 7.84 0.60 -9999.00 2372.82
743.60 18.34 6.04 -7.68 326.95 135.00 1.37 0.30 -9999.00 2648.65
716.70 15.64 4.49 -8.47 327.12 37.87 2.22 0.20 -9999.00 2962.13
687.30 12.74 2.70 -9.61 327.31 341.57 1.23 0.30 -9999.00 3315.04
655.30 9.64 0.94 -10.02 328.33 239.42 4.97 0.20 -9999.00 3712.53
620.80 6.24 -1.20 -11.13 329.14 245.56 11.74 0.10 -9999.00 4158.27
583.70 2.34 -4.02 -13.54 329.23 250.84 19.55 0.20 -9999.00 4659.47
544.10 -2.06 -7.27 -16.21 329.49 254.62 24.19 0.30 -9999.00 5222.23
502.30 -6.96 -11.00 -19.16 329.97 256.37 26.40 0.30 -9999.00 5851.53
461.90 -12.06 -14.92 -21.67 330.78 258.77 25.96 0.10 -9999.00 6499.24
425.50 -16.96 -18.92 -24.42 331.51 261.29 24.38 0.00 -9999.00 7121.22
392.90 -21.76 -23.11 -27.85 331.88 261.33 23.20 0.00 -9999.00 7713.79
363.70 -26.16 -27.30 -32.64 332.24 259.91 23.30 0.00 -9999.00 8277.39
337.10 -30.16 -31.26 -38.48 333.04 259.05 24.55 0.00 -9999.00 8822.25
313.30 -33.86 -34.88 -44.26 334.25 262.98 25.46 0.00 -9999.00 9339.18
291.90 -37.56 -38.43 -49.73 335.40 271.25 26.64 0.00 -9999.00 9830.99
272.60 -41.56 -42.20 -53.20 336.04 275.37 29.09 0.00 -9999.00 10298.77
255.20 -45.36 -45.78 -54.63 336.77 275.32 31.43 0.10 -9999.00 10742.27
239.60 -48.86 -49.16 -57.20 337.54 276.59 33.85 0.10 -9999.00 11159.66
225.10 -51.96 -52.17 -58.93 338.81 278.44 35.76 0.10 -9999.00 11566.70
212.10 -54.46 -54.62 -60.82 340.68 279.61 36.08 0.10 -9999.00 11949.71
200.10 -56.26 -56.41 -62.98 343.49 279.25 35.06 0.10 -9999.00 12321.02
188.10 -57.76 -57.91 -65.59 347.15 277.85 34.14 0.00 -9999.00 12712.31
176.10 -59.06 -59.21 -68.99 351.56 276.59 33.85 -0.10 -9999.00 13126.71
164.10 -60.46 -60.59 -69.49 356.37 276.13 34.60 -0.20 -9999.00 13567.56
152.10 -61.86 -62.00 -74.74 361.73 276.27 35.59 -0.30 -9999.00 14038.80
140.10 -63.16 -63.29 -75.28 368.03 274.92 36.29 -0.30 -9999.00 14545.54
128.10 -64.26 -64.38 -75.86 375.58 272.77 36.20 -0.20 -9999.00 15094.54
116.10 -64.66 -64.79 -76.50 385.54 269.02 34.22 -0.10 -9999.00 15695.41
104.20 -64.66 -64.83 -102.33 397.56 262.87 29.78 -0.10 -9999.00 16355.40
92.20 -64.96 -65.14 -102.89 411.10 257.77 23.87 -0.10 -9999.00 17101.59
81.00 -64.86 -65.07 -103.49 426.78 258.57 17.65 0.00 -9999.00 17891.06
72.10 -64.06 -64.31 -104.01 442.89 258.86 13.08 0.00 -9999.00 18602.11
64.80 -62.56 -62.90 -104.49 459.87 264.81 8.59 0.10 -9999.00 19257.82
58.10 -60.46 -60.94 -104.98 479.15 258.69 0.99 0.00 -9999.00 19933.97
51.70 -59.36 -59.97 -105.50 497.94 107.97 7.56 0.00 -9999.00 20662.48
45.90 -58.06 -58.85 -106.03 518.27 97.59 8.82 0.00 -9999.00 21409.43
40.40 -56.86 -57.87 -106.58 540.50 95.01 11.12 0.00 -9999.00 22215.30
35.30 -55.86 -57.12 -107.17 564.32 98.67 11.60 0.00 -9999.00 23071.67
30.50 -54.66 -56.26 -84.74 591.70 96.09 14.66 0.00 -9999.00 24003.90
26.10 -52.86 -55.03 -85.65 623.70 81.98 13.94 0.00 -9999.00 25004.42
22.00 -49.26 -52.68 -86.63 665.57 79.58 17.19 0.00 -9999.00 26115.43
