PRES TMPC TMWC DWPC THTE DRCT SKNT OMEG CFRL HGHT
875.30 33.24 18.42 10.56 347.83 2.79 7.98 0.00 -9999.00 1273.00
873.40 33.54 17.59 8.41 344.54 2.77 12.07 0.00 -9999.00 1292.60
866.90 32.74 15.70 4.08 338.02 3.92 14.22 0.00 -9999.00 1359.86
857.40 33.24 13.45 -4.74 330.81 355.43 14.63 0.0 -9999.00 1458.87 
843.60 31.44 13.03 -3.17 331.84 352.87 12.54 0.00 -9999.00 1604.27
826.50 29.64 12.70 -1.36 333.72 351.67 8.05 0.00 -9999.00 1786.75
807.30 27.74 11.99 -0.93 334.63 347.47 3.58 0.00 -9999.00 1994.97
787.30 25.84 11.13 -0.99 335.19 288.43 1.84 0.00 -9999.00 2215.82
766.10 23.74 10.12 -1.25 335.57 225.00 3.57 0.00 -9999.00 2454.55
741.90 21.24 8.83 -1.77 335.71 208.07 6.61 0.00 -9999.00 2733.09
715.70 18.64 7.47 -2.32 336.11 201.19 10.22 0.00 -9999.00 3042.40
684.90 14.74 5.28 -3.58 335.09 198.69 13.95 0.00 -9999.00 3416.61
652.80 10.84 3.09 -4.56 334.76 194.65 17.68 0.00 -9999.00 3819.43
618.00 6.44 0.44 -5.96 334.09 191.62 21.23 0.00 -9999.00 4272.43
578.30 1.04 -4.10 -11.19 330.20 194.62 23.10 0.00 -9999.00 4811.70
541.20 -1.96 -7.90 -19.45 328.55 211.43 20.50 0.00 -9999.00 5341.65
500.30 -6.16 -11.69 -26.02 328.74 249.29 17.04 0.00 -9999.00 5961.09
459.60 -11.96 -16.14 -29.74 328.75 269.43 19.44 0.00 -9999.00 6617.36
424.00 -16.56 -19.77 -32.01 330.16 271.65 20.22 0.00 -9999.00 7228.60
392.20 -20.56 -23.22 -35.85 331.74 274.09 21.83 0.00 -9999.00 7809.80
363.00 -24.56 -26.69 -39.03 333.41 278.27 22.98 0.00 -9999.00 8377.48
336.70 -28.56 -30.17 -41.50 334.93 279.95 22.50 0.00 -9999.00 8920.48
312.90 -33.06 -34.11 -42.84 335.64 276.08 23.85 0.00 -9999.00 9440.62
291.30 -37.56 -38.21 -44.93 335.99 275.83 26.77 0.00 -9999.00 9938.70
271.60 -41.56 -42.01 -48.15 336.72 277.65 29.22 0.00 -9999.00 10417.57
254.10 -45.06 -45.41 -51.57 337.79 279.52 30.55 0.00 -9999.00 10865.72
238.80 -47.96 -48.24 -54.30 339.34 281.52 31.15 0.00 -9999.00 11277.75
224.90 -50.86 -51.07 -56.63 340.67 282.07 31.61 0.00 -9999.00 11670.55
212.00 -54.06 -54.21 -59.40 341.39 281.51 33.13 0.00 -9999.00 12052.16
199.60 -57.36 -57.48 -63.00 341.99 280.70 35.61 0.00 -9999.00 12435.80
187.10 -60.06 -60.15 -65.63 343.96 280.07 38.89 0.00 -9999.00 12841.77
175.50 -60.86 -60.97 -69.01 348.94 278.93 41.32 0.00 -9999.00 13240.27
164.80 -60.16 -60.30 -69.46 356.44 276.66 41.88 0.00 -9999.00 13631.84
153.60 -60.06 -60.21 -69.95 363.84 273.06 40.10 0.00 -9999.00 14070.76
141.40 -61.46 -61.60 -70.53 370.09 269.69 35.96 0.00 -9999.00 14585.30
128.60 -63.66 -63.79 -75.84 376.24 266.38 30.77 0.00 -9999.00 15170.24
116.00 -65.06 -65.18 -76.51 384.89 260.47 27.00 0.00 -9999.00 15800.47
103.90 -65.16 -65.32 -102.34 396.94 252.76 23.61 0.00 -9999.00 16471.35
91.90 -64.76 -64.95 -102.91 411.88 245.02 18.87 0.00 -9999.00 17219.29
80.70 -64.26 -64.48 -103.50 428.47 233.47 13.06 0.00 -9999.00 18013.03
71.80 -64.16 -64.41 -104.03 443.21 223.41 9.90 0.00 -9999.00 18727.74
64.60 -62.76 -63.09 -104.51 459.84 218.16 6.92 0.00 -9999.00 19376.37
57.90 -61.16 -61.60 -105.00 478.04 177.80 5.06 0.00 -9999.00 20053.29
51.60 -59.36 -59.97 -105.51 498.22 132.71 6.88 0.00 -9999.00 20771.18
45.80 -58.46 -59.22 -106.04 517.63 116.57 9.56 0.00 -9999.00 21518.96
40.30 -57.36 -58.32 -106.59 539.63 113.96 9.57 0.00 -9999.00 22325.03
35.20 -55.36 -56.70 -107.18 566.08 108.06 9.40 0.00 -9999.00 23183.68
30.50 -52.16 -54.21 -84.74 598.47 92.05 10.89 0.00 -9999.00 24104.10
26.10 -49.56 -52.50 -85.65 633.04 83.29 13.31 0.00 -9999.00 25117.85
22.00 -46.76 -50.94 -86.63 673.00 82.32 17.46 0.00 -9999.00 26243.36
