PRES TMPC TMWC DWPC THTE DRCT SKNT OMEG CFRL HGHT
867.40 29.94 20.34 16.25 358.36 27.65 4.61 0.00 -9999.00 1282.29
864.80 30.44 18.71 13.00 351.27 23.20 8.88 0.00 -9999.00 1309.14
860.10 30.34 17.37 10.37 346.35 24.78 11.13 -0.20 -9999.00 1357.85
852.00 29.64 16.58 9.19 344.53 25.80 12.95 -0.30 -9999.00 1442.27
840.10 29.24 14.04 3.22 336.60 15.19 14.10 -0.20 -9999.00 1567.40
824.70 28.84 12.39 -1.36 333.07 357.99 11.09 0.00 -9999.00 1731.55
806.40 27.54 11.72 -1.60 333.84 339.44 8.30 0.30 -9999.00 1930.00
786.50 25.64 10.76 -1.97 334.07 310.16 8.14 0.40 -9999.00 2149.80
764.80 23.54 9.66 -2.51 334.22 287.59 8.36 0.10 -9999.00 2394.27
740.50 21.14 8.40 -3.04 334.49 247.38 5.05 -0.50 -9999.00 2674.26
713.80 18.34 6.92 -3.63 334.71 201.80 8.37 -1.00 -9999.00 2989.89
684.40 15.24 4.76 -5.94 333.51 195.02 16.50 -1.00 -9999.00 3347.70
652.60 11.54 2.36 -7.93 332.57 192.80 17.54 -0.40 -9999.00 3747.60
618.20 7.14 0.09 -8.04 333.00 203.90 16.80 0.20 -9999.00 4196.30
581.20 2.24 -2.40 -7.85 333.86 218.76 17.70 0.40 -9999.00 4699.32
541.70 -1.86 -6.14 -12.31 332.65 220.67 16.40 0.40 -9999.00 5263.57
500.20 -5.66 -11.16 -24.35 329.90 253.66 11.75 0.30 -9999.00 5892.82
459.90 -11.36 -15.70 -29.43 329.51 268.21 12.45 0.10 -9999.00 6543.89
423.70 -16.56 -19.77 -32.01 330.22 262.67 13.72 -0.10 -9999.00 7166.17
391.30 -21.06 -23.55 -35.23 331.41 272.73 16.35 -0.40 -9999.00 7758.64
362.10 -25.16 -27.04 -37.54 333.06 278.75 17.90 -0.60 -9999.00 8326.44
335.80 -29.36 -30.67 -39.26 334.39 280.47 18.19 -0.70 -9999.00 8869.32
312.10 -33.66 -34.49 -41.03 335.28 282.46 18.91 -0.50 -9999.00 9387.16
290.70 -37.86 -38.36 -43.20 335.95 284.29 21.26 -0.20 -9999.00 9880.85
271.50 -41.66 -41.99 -45.96 336.80 284.70 24.52 0.10 -9999.00 10347.75
254.20 -44.96 -45.27 -50.33 337.98 284.04 27.25 0.30 -9999.00 10790.78
238.70 -48.06 -48.31 -53.51 339.27 282.28 29.24 0.40 -9999.00 11208.21
224.20 -51.26 -51.45 -56.66 340.36 280.53 30.84 0.40 -9999.00 11618.22
211.20 -54.26 -54.40 -59.43 341.45 278.80 33.04 0.40 -9999.00 12003.60
199.30 -56.76 -56.89 -63.01 343.09 278.04 36.12 0.30 -9999.00 12373.09
187.30 -58.86 -58.98 -65.62 345.79 278.13 38.49 0.20 -9999.00 12764.55
175.40 -60.26 -60.36 -66.10 350.03 277.97 39.26 0.10 -9999.00 13174.98
163.50 -61.36 -61.47 -69.51 355.23 277.42 37.64 0.00 -9999.00 13611.68
151.50 -62.46 -62.56 -70.05 361.16 275.28 33.77 -0.10 -9999.00 14083.04
139.60 -63.66 -63.78 -75.30 367.53 271.15 28.97 -0.10 -9999.00 14586.14
127.70 -64.76 -64.87 -75.88 375.02 266.16 26.11 -0.20 -9999.00 15131.09
115.70 -65.46 -65.57 -76.53 384.44 260.75 25.41 -0.20 -9999.00 15732.06
103.80 -65.46 -65.61 -102.35 396.47 257.07 24.33 -0.10 -9999.00 16391.92
91.80 -64.96 -65.14 -102.91 411.61 255.96 19.23 -0.10 -9999.00 17139.73
80.80 -64.16 -64.39 -103.50 428.52 243.81 13.21 0.00 -9999.00 17919.07
71.90 -63.86 -64.12 -104.03 443.67 230.71 11.05 0.00 -9999.00 18633.53
64.60 -62.66 -62.99 -104.51 460.06 234.09 6.96 0.00 -9999.00 19291.32
57.90 -60.96 -61.42 -105.00 478.50 173.66 3.52 0.00 -9999.00 19968.72
51.60 -59.26 -59.88 -105.51 498.45 137.39 6.60 0.00 -9999.00 20687.12
45.70 -58.76 -59.49 -106.05 517.23 124.99 9.49 0.00 -9999.00 21448.26
40.30 -57.46 -58.41 -106.59 539.38 125.36 7.39 0.00 -9999.00 22239.81
35.20 -54.86 -56.27 -107.18 567.38 112.07 7.76 0.00 -9999.00 23099.25
30.50 -52.16 -54.21 -84.74 598.47 85.43 9.75 0.00 -9999.00 24020.72
26.10 -49.36 -52.35 -85.65 633.60 74.29 12.92 0.00 -9999.00 25034.92
22.00 -46.76 -50.94 -86.63 673.00 75.47 16.27 0.00 -9999.00 26160.94
